2022-05-17 11:05:458 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:234 INFO  DurationOfStayPage :26 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (967a943ae64ce73e3c9fc63dd714b947)] -> xpath: //a[normalize-space()='Start now']]
2022-05-17 11:05:328 INFO  DurationOfStayPage :25 - Selecting text from dropdown Australia from dropdown [[ChromeDriver: chrome on WINDOWS (967a943ae64ce73e3c9fc63dd714b947)] -> xpath: //select[@id='response']]
2022-05-17 11:05:550 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (967a943ae64ce73e3c9fc63dd714b947)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:890 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (967a943ae64ce73e3c9fc63dd714b947)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:931 INFO  DurationOfStayPage :27 - Getting result message [[ChromeDriver: chrome on WINDOWS (967a943ae64ce73e3c9fc63dd714b947)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2022-05-17 11:05:606 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:307 INFO  DurationOfStayPage :26 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (d483abd5749decb6f627bdd4f238873e)] -> xpath: //a[normalize-space()='Start now']]
2022-05-17 11:05:375 INFO  DurationOfStayPage :25 - Selecting text from dropdown Chile from dropdown [[ChromeDriver: chrome on WINDOWS (d483abd5749decb6f627bdd4f238873e)] -> xpath: //select[@id='response']]
2022-05-17 11:05:596 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (d483abd5749decb6f627bdd4f238873e)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:862 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (d483abd5749decb6f627bdd4f238873e)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:131 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (d483abd5749decb6f627bdd4f238873e)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:428 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (d483abd5749decb6f627bdd4f238873e)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:462 INFO  DurationOfStayPage :27 - Getting result message [[ChromeDriver: chrome on WINDOWS (d483abd5749decb6f627bdd4f238873e)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2022-05-17 11:05:153 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:815 INFO  DurationOfStayPage :26 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (f6584406fd3d877393a909cbf91d9157)] -> xpath: //a[normalize-space()='Start now']]
2022-05-17 11:05:874 INFO  DurationOfStayPage :25 - Selecting text from dropdown Colombia from dropdown [[ChromeDriver: chrome on WINDOWS (f6584406fd3d877393a909cbf91d9157)] -> xpath: //select[@id='response']]
2022-05-17 11:05:121 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (f6584406fd3d877393a909cbf91d9157)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:422 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (f6584406fd3d877393a909cbf91d9157)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:681 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (f6584406fd3d877393a909cbf91d9157)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:711 INFO  DurationOfStayPage :27 - Getting result message [[ChromeDriver: chrome on WINDOWS (f6584406fd3d877393a909cbf91d9157)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2022-05-17 11:05:824 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:483 INFO  DurationOfStayPage :26 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (e5c89702d2e624595d1a6906baf8251e)] -> xpath: //a[normalize-space()='Start now']]
2022-05-17 11:05:572 INFO  DurationOfStayPage :25 - Selecting text from dropdown Australia from dropdown [[ChromeDriver: chrome on WINDOWS (e5c89702d2e624595d1a6906baf8251e)] -> xpath: //select[@id='response']]
2022-05-17 11:05:758 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (e5c89702d2e624595d1a6906baf8251e)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:994 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (e5c89702d2e624595d1a6906baf8251e)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:36 INFO  DurationOfStayPage :27 - Getting result message [[ChromeDriver: chrome on WINDOWS (e5c89702d2e624595d1a6906baf8251e)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2022-05-17 11:05:723 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:372 INFO  DurationOfStayPage :26 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (7c5e6703ae45ebbd670b1e2264950f51)] -> xpath: //a[normalize-space()='Start now']]
2022-05-17 11:05:445 INFO  DurationOfStayPage :25 - Selecting text from dropdown Chile from dropdown [[ChromeDriver: chrome on WINDOWS (7c5e6703ae45ebbd670b1e2264950f51)] -> xpath: //select[@id='response']]
2022-05-17 11:05:596 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (7c5e6703ae45ebbd670b1e2264950f51)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:803 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (7c5e6703ae45ebbd670b1e2264950f51)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:50 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (7c5e6703ae45ebbd670b1e2264950f51)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:335 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (7c5e6703ae45ebbd670b1e2264950f51)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:378 INFO  DurationOfStayPage :27 - Getting result message [[ChromeDriver: chrome on WINDOWS (7c5e6703ae45ebbd670b1e2264950f51)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2022-05-17 11:05:54 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:789 INFO  DurationOfStayPage :26 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (990e4b8275ca5d6f3b5719782a90111c)] -> xpath: //a[normalize-space()='Start now']]
2022-05-17 11:05:865 INFO  DurationOfStayPage :25 - Selecting text from dropdown Colombia from dropdown [[ChromeDriver: chrome on WINDOWS (990e4b8275ca5d6f3b5719782a90111c)] -> xpath: //select[@id='response']]
2022-05-17 11:05:112 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (990e4b8275ca5d6f3b5719782a90111c)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:435 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (990e4b8275ca5d6f3b5719782a90111c)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:717 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (990e4b8275ca5d6f3b5719782a90111c)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:763 INFO  DurationOfStayPage :27 - Getting result message [[ChromeDriver: chrome on WINDOWS (990e4b8275ca5d6f3b5719782a90111c)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2022-05-17 11:05:124 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:731 INFO  DurationOfStayPage :26 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (3a98754f74cb201b951d62372e7e4aa6)] -> xpath: //a[normalize-space()='Start now']]
2022-05-17 11:05:812 INFO  DurationOfStayPage :25 - Selecting text from dropdown Australia from dropdown [[ChromeDriver: chrome on WINDOWS (3a98754f74cb201b951d62372e7e4aa6)] -> xpath: //select[@id='response']]
2022-05-17 11:05:42 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (3a98754f74cb201b951d62372e7e4aa6)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:376 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (3a98754f74cb201b951d62372e7e4aa6)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:416 INFO  DurationOfStayPage :27 - Getting result message [[ChromeDriver: chrome on WINDOWS (3a98754f74cb201b951d62372e7e4aa6)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2022-05-17 11:05:84 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:711 INFO  DurationOfStayPage :26 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (47126a1959f519f20da1bbc14965972a)] -> xpath: //a[normalize-space()='Start now']]
2022-05-17 11:05:785 INFO  DurationOfStayPage :25 - Selecting text from dropdown Chile from dropdown [[ChromeDriver: chrome on WINDOWS (47126a1959f519f20da1bbc14965972a)] -> xpath: //select[@id='response']]
2022-05-17 11:05:961 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (47126a1959f519f20da1bbc14965972a)] -> xpath: //button[normalize-space()='Continue']]
2022-05-17 11:05:224 INFO  DurationOfStayPage :30 - Clicking on NextStepButton [[ChromeDriver: chrome on WINDOWS (47126a1959f519f20da1bbc14965972a)] -> xpath: //button[normalize-space()='Continue']]
